Country Code,SE.XPD.TOTL.GD.ZS,Media_CAGR,Soma_Crescimento_Pct,N_Indicadores
ARG,5.27689981460571,2.106,36.71,1
BRA,5.7714900970459,1.704,28.85,1
CHL,5.62992000579834,3.667,71.64,1
COL,5.26166009902954,1.809,30.85,1
DEU,5.51600980758667,1.761,23.31,1
ETH,4.0905654220699,-2.081,-25.5,1
FIN,6.6812801361084,0.691,10.88,1
FRA,5.65871000289917,1.169,3.55,1
GBR,5.43936014175415,0.658,10.34,1
IDN,1.01593221347809,-6.695,-64.64,1
IND,4.29335021972656,2.003,34.64,1
JPN,3.30628991127014,-0.017,-0.26,1
KOR,4.52706003189087,1.307,6.71,1
MEX,4.4996600151062,-0.196,-2.9,1
NGA,0.35963763718498,-5.155,-34.52,1
PER,4.25937986373901,2.741,50.03,1
RUS,4.01641864383637,0.42,6.48,1
SWE,7.95333003997803,1.339,22.07,1
TUR,4.03382015228271,-0.504,-4.45,1
USA,5.39530992507935,1.818,9.42,1
ZAF,6.17067003250122,2.09,36.38,1
